assignment_id,hit_id,worker_id,start_time,condition,phase,item_order,item_name,response,response_order,originality
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,1,Pants,Used as a plate ,0,3.2
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,1,Pants,Used as a scarf ,1,3.0
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,1,Pants,Used as a tissue ,2,3.0
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,1,Pants,Cut up to make sleeves ,3,2.5
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,1,Pants,Can be used to tie someone's hands ,4,2.5
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,1,Pants,Used as a blanket ,5,2.5
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,1,Pants,Can be used to hold clothing ,6,2.0
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,1,Pants,Can be used to hold any item ,7,2.5
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,2,Tire,Can be used as a method of transport by placing someone inside the wheel ,0,3.0
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,2,Tire,Can be used as a bowling pin ,1,3.5
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,2,Tire,Can be used to hold food ,2,3.0
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,2,Tire,Can use it to transport food ,3,2.2
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,3,Table,Can be used as a weapon ,0,2.5
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,3,Table,Can be used as a shield ,1,3.5
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,3,Table,Can be used as a seat ,2,2.0
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,3,Table,Can be used as a ladder ,3,3.0
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,3,Table,Can be used as a door ,4,3.0
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,3,Table,Can be used as a barrier ,5,2.5
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,3,Table,Can be used for gymnastics ,6,3.0
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Practice,3,Table,Can use one of the table legs as a stick-like object ,7,3.0
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Test,4,Shoe,Can be used as a basketball ,0,3.0
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Test,4,Shoe,Can be used as a football ,1,3.0
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Test,4,Shoe,Can be used as a tennis ball ,2,3.2
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Test,4,Shoe,Can be used to put drinks in ,3,3.0
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Test,4,Shoe,Can use it to carry extra luggage ,4,3.0
66ddb197060e950f60c068e5,66dd0f5d2d96edbedcf4a80b,6682df3fb2e38144feb693f6,2024-09-08T14:33:17.424Z,Absent,Test,4,Shoe,Can use it as a canvas for a painting ,5,3.0
